"","correctYea","wrongYea","wrongNay","correctNay","GMP","PRE","spread1D","spread2D","midpoint1D","midpoint2D"
"831",58,2,8,16,0.74465948343277,0.444444444444444,-0.268672943115234,0.00448488676920533,-0.585675239562988,0.749459743499756
"832",78,1,1,55,0.923522293567657,0.964285714285714,0.746553122997284,-0.198660150170326,0.246933743357658,-0.170336499810219
"833",83,1,1,61,0.937444865703583,0.967741935483871,1.29077911376953,0.0313031524419785,0.337471842765808,-0.921543955802917
"834",126,8,0,10,0.859483897686005,0.555555555555556,0.710521757602692,-0.416030377149582,0.865205526351929,-0.0122645404189825
"835",134,0,0,9,0.969215095043182,1,0.620000004768372,-1.15796840190887,0.896430194377899,-0.275818020105362
"836",139,1,0,3,0.924251616001129,0.75,1.76116478443146,0,0.912942171096802,0
"837",71,2,1,51,0.941946744918823,0.943396226415094,0.802697479724884,0.436929970979691,0.22319184243679,-0.310326874256134
"838",78,1,1,67,0.951761305332184,0.970588235294118,1.14303398132324,0.56958019733429,0.143033936619759,-0.382798939943314
"839",78,3,2,65,0.939770579338074,0.926470588235294,1.12991309165955,0.436500191688538,0.159494981169701,-0.36101308465004
"840",82,2,0,63,0.960827708244324,0.969230769230769,1.21375906467438,0.102761082351208,0.2137590944767,-0.0822861343622208
"841",81,0,0,66,0.972220599651337,1,1.19863772392273,0.732048749923706,0.198637738823891,-0.353780299425125
"842",63,1,3,81,0.944033861160278,0.939393939393939,-1.20964694023132,0.14503401517868,0.209646999835968,-0.309442043304443
"843",77,1,1,68,0.964977025985718,0.971014492753623,1.13392806053162,0.58805513381958,0.133928120136261,-0.377071559429169
"844",79,0,0,70,0.987689733505249,1,-1.46885716915131,-0.282556742429733,-0.468857139348984,0.822881162166595
"845",64,1,2,82,0.957477748394012,0.954545454545455,-1.21126461029053,-0.0268634278327227,0.211264610290527,-0.0758119970560074
"846",81,3,1,64,0.944317281246185,0.940298507462687,1.20727598667145,-0.145426154136658,0.207275971770287,-0.328118175268173
"847",67,2,1,75,0.961376547813416,0.955882352941177,-1.12158179283142,0.187904536724091,0.121581830084324,-0.447455555200577
"848",78,1,1,68,0.965324461460114,0.971014492753623,1.14271724224091,0.588415086269379,0.142717197537422,-0.383020132780075
"849",83,1,0,64,0.965150833129883,0.984615384615385,1.24305319786072,0.0722873732447624,0.243053182959557,-0.0469277165830135
"850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"851",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"852",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"853",134,1,2,6,0.92637836933136,0.571428571428571,0.790000021457672,1.38802814483643,0.942993760108948,0.311890244483948
"854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"855",58,0,1,65,0.975604474544525,0.983050847457627,1.02015173435211,-0.0978378131985664,0.0201517399400473,0.0299369357526302
"856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"857",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"861",73,5,12,45,0.790022790431976,0.66,0.478521317243576,0.032700203359127,0.420175045728683,0.126440718770027
"862",115,10,2,8,0.764767706394196,0.333333333333333,0.388956308364868,0.111658670008183,0.934744238853455,0.0822256803512573
"863",86,3,9,40,0.818869173526764,0.720930232558139,0.860939145088196,0.0665194690227509,0.589259803295135,-0.0024973344989121
"864",110,4,3,22,0.880815327167511,0.730769230769231,0.86155503988266,0.909278571605682,0.771862745285034,0.037762276828289
"865",89,3,6,40,0.864029705524445,0.790697674418605,1.60976624488831,0.00954973697662354,0.609766185283661,0.512539267539978
"866",67,3,3,66,0.944420695304871,0.91304347826087,0.886405289173126,0.294732332229614,0.0335874855518341,-0.363061815500259
"867",133,7,0,0,0.860051155090332,0,0.769999980926514,-0.0704187005758286,0.984445631504059,-0.175688743591309
"868",76,1,1,62,0.965565204620361,0.968253968253968,1.19926345348358,0.379076689481735,0.199263468384743,-0.201783820986748
"869",69,1,1,69,0.959688246250153,0.971428571428571,-1.03949761390686,-0.154622927308083,0.0394976586103439,-0.504646301269531
"870",68,2,2,67,0.960876762866974,0.942028985507246,1.04611945152283,0.394368231296539,0.0461194701492786,-0.401526570320129
"871",67,2,2,68,0.960876762866974,0.942028985507246,-1.04611945152283,-0.394368231296539,0.0461194701492786,-0.401526570320129
"872",75,1,1,63,0.962214469909668,0.96875,1.19378876686096,0.330084145069122,0.193788707256317,-0.242382988333702
"873",70,3,0,66,0.921337842941284,0.956521739130435,-0.641958594322205,0.103851325809956,-0.0453100018203259,-0.351818829774857
"874",69,1,3,67,0.9464350938797,0.941176470588235,1.120640873909,0.0808605253696442,0.120640926063061,-0.464497476816177
"875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"877",108,10,3,19,0.790231764316559,0.551724137931034,0.62833958864212,-0.229674398899078,0.749128639698029,-0.0168439261615276
"878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"879",63,1,2,68,0.874703884124756,0.953846153846154,-0.558221757411957,-0.298541963100433,0.189753472805023,-0.272598385810852
"880",76,0,0,63,0.976406335830688,1,1.23775577545166,0.766812562942505,0.237755790352821,-0.25443759560585
"881",63,1,1,73,0.915698409080505,0.96875,-0.73517382144928,-0.445765286684036,0.23515810072422,-0.308121711015701
"882",74,1,1,63,0.949090480804443,0.96875,1.17847430706024,0.628685116767883,0.239461496472359,-0.331635504961014
"883",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"884",63,2,3,70,0.847242295742035,0.924242424242424,-0.467329263687134,-0.237243086099625,0.14888921380043,-0.236248806118965
"885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"886",63,1,1,72,0.915098369121552,0.96875,-0.734283626079559,-0.450260430574417,0.235179528594017,-0.308136641979218
"887",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"888",77,0,0,61,0.980514466762543,1,1.25538897514343,0.712851345539093,0.255388975143433,-0.242422118782997
"889",136,4,0,0,0.862755060195923,0,0.75,0,1,0
"890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"891",61,1,2,69,0.941607415676117,0.952380952380952,0.706282675266266,-0.0263236537575722,-0.104057505726814,0.550928294658661
"892",70,0,0,64,0.977163434028625,1,1.18867683410645,0.684797048568726,0.188676834106445,-0.297352641820908
"893",103,19,0,0,0.675612568855286,0,0.240000009536743,0,1,0
"894",75,0,1,66,0.975274682044983,0.984848484848485,-1.50481057167053,0.917748868465424,-0.425429254770279,-0.431288719177246
"895",95,11,1,22,0.784289479255676,0.636363636363636,-0.204295679926872,0.706643223762512,-0.789889693260193,0.0459276139736176
"896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"899",98,17,9,18,0.648648917675018,0.257142857142857,-0.0900000333786011,-0.658511638641357,-0.971894383430481,-0.23541733622551
"900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"901",97,5,1,25,0.884984195232391,0.8,-0.450380265712738,0.728767275810242,-0.643404006958008,0.00657937536016107
"902",61,1,0,81,0.979276239871979,0.983606557377049,1.56432712078094,-0.983402848243713,-0.497110515832901,-0.471354573965073
"903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"905",59,1,0,80,0.97514820098877,0.983050847457627,1.49628925323486,-0.916381299495697,-0.427354037761688,-0.409647822380066
"906",56,2,1,81,0.958135664463043,0.947368421052632,1.11343812942505,-0.869087100028992,-0.411309123039246,-0.192814484238625
"907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"908",81,0,1,57,0.973906636238098,0.982456140350877,-1.25428819656372,0.871140837669373,-0.38316610455513,-0.175189509987831
"909",81,0,3,54,0.911772429943085,0.944444444444444,-0.73764705657959,0.224802404642105,-0.394499182701111,-0.0391228310763836
